ticker,first_date,last_date,n_days,n_months
LCI,"(2023, 1, 13)","(2026, 8, 3)",44,44
LEUL,"(2013, 12, 5)","(2026, 8, 3)",153,153
LINDE,"(2013, 12, 2)","(2018, 3, 16)",52,52
LIVEN,"(2024, 12, 18)","(2026, 8, 3)",21,21
LMSM,"(2013, 12, 2)","(2024, 12, 17)",132,132
LOADS,"(2016, 11, 1)","(2026, 8, 3)",118,118
LOTCHEM,"(2013, 12, 2)","(2026, 8, 3)",153,153
LPCL,"(2013, 12, 2)","(2015, 8, 17)",21,21
LPGL,"(2014, 1, 3)","(2026, 8, 3)",142,142
LPL,"(2013, 12, 2)","(2026, 8, 3)",153,153
LSECL,"(2024, 5, 24)","(2026, 8, 3)",28,28
LSEFSL,"(2024, 5, 31)","(2026, 8, 3)",28,28
LSEPL,"(2023, 6, 12)","(2024, 4, 19)",11,11
LSEVL,"(2023, 6, 27)","(2026, 8, 3)",39,39
LUCK,"(2013, 12, 2)","(2026, 8, 3)",153,153
MACFL,"(2013, 12, 2)","(2026, 8, 3)",153,153
MARI,"(2013, 12, 2)","(2026, 8, 3)",153,153
MCB,"(2013, 12, 2)","(2026, 8, 3)",153,153
MCBAH,"(2013, 12, 2)","(2023, 9, 1)",118,118
MCBIM,"(2023, 9, 4)","(2026, 8, 3)",36,36
MDTL,"(2013, 12, 2)","(2026, 8, 3)",153,153
MEBL,"(2013, 12, 2)","(2026, 8, 3)",153,153
MEHT,"(2013, 12, 2)","(2026, 8, 3)",140,140
MERIT,"(2013, 12, 2)","(2026, 8, 3)",153,153
META,"(2022, 8, 10)","(2024, 7, 18)",24,24
MFFL,"(2013, 12, 2)","(2026, 8, 3)",153,153
MFL,"(2018, 2, 13)","(2026, 8, 3)",103,103
MFTM,"(2013, 12, 2)","(2021, 10, 29)",48,48
MIRKS,"(2013, 12, 2)","(2026, 8, 3)",153,153
MLCF,"(2013, 12, 2)","(2026, 8, 3)",153,153
MODAM,"(2013, 12, 2)","(2024, 4, 19)",125,125
MOHE,"(2021, 10, 25)","(2021, 10, 29)",1,1
MOON,"(2013, 12, 3)","(2014, 3, 7)",4,4
MQTM,"(2013, 12, 2)","(2026, 8, 3)",138,138
MRNS,"(2013, 12, 2)","(2026, 8, 3)",153,153
MSCL,"(2013, 12, 2)","(2026, 8, 3)",100,100
MSOT,"(2013, 12, 2)","(2026, 8, 3)",153,153
MTIL,"(2013, 12, 11)","(2021, 9, 3)",94,94
MTL,"(2013, 12, 2)","(2026, 8, 3)",153,153
MUBT,"(2013, 12, 2)","(2021, 10, 29)",64,64
MUGHAL,"(2015, 4, 15)","(2026, 8, 3)",137,137
MUGHALC,"(2025, 6, 17)","(2026, 8, 3)",15,15
MUKT,"(2014, 4, 23)","(2016, 1, 11)",22,22
MUREB,"(2013, 12, 2)","(2026, 8, 3)",153,153
MWMP,"(2013, 12, 2)","(2026, 8, 3)",49,49
MZSM,"(2013, 12, 2)","(2018, 5, 8)",54,54
NAFL,"(2021, 10, 25)","(2021, 10, 29)",1,1
NAGC,"(2013, 12, 2)","(2026, 8, 3)",152,152
NATF,"(2013, 12, 2)","(2026, 8, 3)",153,153
NATM,"(2013, 12, 3)","(2026, 7, 29)",18,18
NBP,"(2013, 12, 2)","(2026, 8, 3)",153,153
NCL,"(2013, 12, 2)","(2026, 8, 3)",153,153
NCML,"(2015, 4, 29)","(2026, 8, 3)",137,137
