ticker,year,month,ret_monthly,n_days,first_close,last_close
AICL,2019,6,0.03392330383480813,16,33.9,35.05,2089500.0
AICL,2019,7,-0.15235378031383728,20,35.05,29.71,2025500.0
AICL,2019,8,-0.08179064288118476,18,29.71,27.28,1307000.0
AICL,2019,9,0.02822580645161299,18,27.28,28.05,4270500.0
AICL,2019,10,0.11942959001782527,22,28.05,31.4,1673500.0
AICL,2019,11,0.2563694267515926,21,31.4,39.45,17104000.0
AICL,2019,12,0.06692015209125479,21,39.45,42.09,45609500.0
AICL,2020,1,0.01259206462342588,23,42.09,42.62,15874500.0
AICL,2020,2,-0.0847020178320037,18,42.62,39.01,5804000.0
AICL,2020,3,-0.3173545244809023,20,39.01,26.63,7382000.0
AICL,2020,4,0.25722868944799093,22,26.63,33.48,5426500.0
AICL,2020,5,0.01583034647550785,16,33.48,34.01,4565500.0
AICL,2020,6,-0.026462805057336003,22,34.01,33.11,7951000.0
AICL,2020,7,0.2304439746300213,22,33.11,40.74,19348500.0
AICL,2020,8,0.0363279332351496,20,40.74,42.22,8761500.0
AICL,2020,9,-0.05021316911416385,22,42.22,40.1,8711000.0
AICL,2020,10,-0.05211970074812977,21,40.1,38.01,4897000.0
AICL,2020,11,-0.02630886608787164,21,38.01,37.01,4471000.0
AICL,2020,12,0.062415563361253756,22,37.01,39.32,9310000.0
AICL,2021,1,0.17599186164801628,21,39.32,46.24,22139000.0
AICL,2021,2,-0.1031574394463668,18,46.24,41.47,5063500.0
AICL,2021,3,-0.05401495056667471,22,41.47,39.23,13191000.0
AICL,2021,4,0.03109864899311776,22,39.23,40.45,7334500.0
AICL,2021,5,-0.05933250927070466,14,40.45,38.05,4118000.0
AICL,2021,6,0.08988173455978976,22,38.05,41.47,10563500.0
AICL,2021,7,-0.03520617313720764,19,41.47,40.01,1164500.0
AICL,2021,8,0.03224193951512122,20,40.01,41.3,3373500.0
AICL,2021,9,-0.14624697336561743,22,41.3,35.26,4420000.0
AICL,2021,10,0.10606920022688615,20,35.26,39.0,6683500.0
AICL,2021,11,0.025128205128205128,22,39.0,39.98,5153500.0
AICL,2021,12,0.0005002501250626068,22,39.98,40.0,2695000.0
AICL,2022,1,-0.010500000000000065,19,40.0,39.58,2810000.0
AICL,2022,2,-0.04825669530065679,20,39.58,37.67,5186000.0
AICL,2022,3,-0.11122909477037446,22,37.67,33.48,3040000.0
AICL,2022,4,-0.045997610513739406,20,33.48,31.94,5099500.0
AICL,2022,5,0.01440200375704448,18,31.94,32.4,4091500.0
AICL,2022,6,-0.025925925925925908,22,32.4,31.56,5536000.0
AICL,2022,7,0.025665399239543696,17,31.56,32.37,577500.0
AICL,2022,8,-0.02687673772011112,21,32.37,31.5,1181000.0
AICL,2022,9,-0.04063492063492069,22,31.5,30.22,3572500.0
AICL,2022,10,-0.02481800132362677,21,30.22,29.47,738000.0
AICL,2022,11,-0.019341703427214085,20,29.47,28.9,1344000.0
AICL,2022,12,-0.0252595155709342,21,28.9,28.17,2900000.0
AICL,2023,1,0.004614838480653249,21,28.17,28.3,969500.0
AICL,2023,2,0.03992932862190801,19,28.3,29.43,526500.0
AICL,2023,3,-0.1009174311926605,21,29.43,26.46,1648500.0
AICL,2023,4,-0.154572940287226,15,26.46,22.37,3359000.0
AICL,2023,5,0.003129190880643673,20,22.37,22.44,2155500.0
AICL,2023,6,0.008467023172905375,19,22.44,22.63,1059000.0
AICL,2023,7,0.2916482545293859,19,22.63,29.23,16141500.0
AICL,2023,8,0.016079370509750168,22,29.23,29.7,7820500.0
AICL,2023,9,-0.037710437710437694,19,29.7,28.58,2518500.0
AICL,2023,10,0.10321903428971324,22,28.58,31.53,6593500.0
AICL,2023,11,0.09039010466222641,21,31.53,34.38,13420000.0
AICL,2023,12,-0.00610820244328103,20,34.38,34.17,20651500.0
AICL,2024,1,0.07491952004682445,23,34.17,36.73,5758500.0
