ticker,year,month,volume_tl
YBTAS,2018,10,434918.0
YBTAS,2018,11,777580.0
YBTAS,2018,12,524954.0
YBTAS,2019,1,145003.0
YBTAS,2019,2,121958.0
YBTAS,2019,3,206769.0
YBTAS,2019,4,1571941.0
YBTAS,2019,5,386542.2
YBTAS,2019,6,283495.0
YBTAS,2019,7,545342.0
YBTAS,2019,8,223757.0
YBTAS,2019,9,171922.0
YBTAS,2019,10,669896.8
YBTAS,2019,11,551801.0
YBTAS,2019,12,867078.8
YBTAS,2020,1,1691005.7
YBTAS,2020,2,4247872.0
YBTAS,2020,3,2959300.0
YBTAS,2020,4,5078582.0
YBTAS,2020,5,4086671.0
YBTAS,2020,6,3133061.0
YBTAS,2020,7,4177215.0
YBTAS,2020,8,2749543.0
YBTAS,2020,9,25516518.0
YBTAS,2020,10,10628336.0
YBTAS,2020,11,9740951.0
YBTAS,2020,12,7277066.0
YBTAS,2021,1,7042029.0
YBTAS,2021,2,4646214.0
YBTAS,2021,3,7711303.0
YBTAS,2021,4,2853233.0
YBTAS,2021,5,3448320.0
YBTAS,2021,6,1992291.0
YBTAS,2021,7,1527954.0
YBTAS,2021,8,1640726.0
YBTAS,2021,9,1625643.0
YBTAS,2021,10,2037452.0
YBTAS,2021,11,3774563.0
YBTAS,2021,12,10622844.0
YBTAS,2022,1,14650840.0
YBTAS,2022,2,16448868.0
YBTAS,2022,3,5424935.0
YBTAS,2022,4,3238819.0
YBTAS,2022,5,7950834.0
YBTAS,2022,6,5168491.0
YBTAS,2022,7,3904560.0
YBTAS,2022,8,19274009.0
YBTAS,2022,9,11868927.0
YBTAS,2022,10,13249001.0
YBTAS,2022,11,18902333.0
YBTAS,2022,12,32668834.0
YBTAS,2023,1,25175174.0
YBTAS,2023,2,35782670.0
YBTAS,2023,3,31224907.0
YBTAS,2023,4,14824750.0
YBTAS,2023,5,14481429.0
YBTAS,2023,6,15447125.0
YBTAS,2023,7,24059205.0
YBTAS,2023,8,36221915.0
YBTAS,2023,9,47911191.0
YBTAS,2023,10,105782705.0
YBTAS,2023,11,172268653.0
YBTAS,2023,12,87615395.0
YBTAS,2024,1,100309985.0
YBTAS,2024,2,140398518.0
YBTAS,2024,3,90105707.0
YBTAS,2024,4,44634998.0
YBTAS,2024,5,100375895.0
YBTAS,2024,6,30730189.0
YBTAS,2024,7,50507747.0
YBTAS,2024,8,54096482.0
YBTAS,2024,9,41415052.0
YBTAS,2024,10,42507910.0
YBTAS,2024,11,52274132.0
YBTAS,2024,12,52655795.0
YBTAS,2025,1,34367095.0
YBTAS,2025,2,22538155.0
YBTAS,2025,3,160832777.0
YBTAS,2025,4,160075206.0
YBTAS,2025,5,148192103.0
YBTAS,2025,6,98289159.0
YBTAS,2025,7,70445165.0
YBTAS,2025,8,106946720.0
YBTAS,2025,9,329467471.0
YBTAS,2025,10,97373877.0
YBTAS,2025,11,109568769.0
YBTAS,2025,12,81561567.0
YBTAS,2026,1,54207218.0
YBTAS,2026,2,31637692.0
YBTAS,2026,3,59951713.99
YBTAS,2026,4,43550002.25
YBTAS,2026,5,27657513.0
YBTAS,2026,6,23713501.0
YBTAS,2026,7,19184489.0
YBTAS,2026,8,971772.0
YEOTK,2021,9,2386464912.0
YEOTK,2021,10,2355613738.0
YEOTK,2021,11,1718412563.0
YEOTK,2021,12,1404408511.0
YEOTK,2022,1,1682827803.0
YEOTK,2022,2,1145066767.0
YEOTK,2022,3,1102559184.0
YEOTK,2022,4,675521610.0
YEOTK,2022,5,447913901.0
YEOTK,2022,6,758983223.0
YEOTK,2022,7,1745899630.0
YEOTK,2022,8,1499162448.0
YEOTK,2022,9,1954580402.0
YEOTK,2022,10,5764667427.0
YEOTK,2022,11,3731517459.0
YEOTK,2022,12,3180603733.0
YEOTK,2023,1,3685920647.0
YEOTK,2023,2,2097798570.0
YEOTK,2023,3,6337826190.0
YEOTK,2023,4,3565516429.0
YEOTK,2023,5,2209619309.0
YEOTK,2023,6,3455127530.0
YEOTK,2023,7,14689234029.0
YEOTK,2023,8,23699265044.0
YEOTK,2023,9,28971269368.0
YEOTK,2023,10,26012225346.0
YEOTK,2023,11,16267973078.0
YEOTK,2023,12,9736707266.0
YEOTK,2024,1,19154886232.0
YEOTK,2024,2,25138384601.0
YEOTK,2024,3,13534909726.0
YEOTK,2024,4,8068889364.0
YEOTK,2024,5,9888593137.0
YEOTK,2024,6,5035214103.0
YEOTK,2024,7,12222818425.0
YEOTK,2024,8,7464015279.0
YEOTK,2024,9,3461674298.0
YEOTK,2024,10,7522745613.0
YEOTK,2024,11,10831107341.0
YEOTK,2024,12,5088353423.0
YEOTK,2025,1,5511516694.0
YEOTK,2025,2,4072613678.0
YEOTK,2025,3,7803008483.0
YEOTK,2025,4,5344042707.0
YEOTK,2025,5,4280647615.0
YEOTK,2025,6,2598338243.0
YEOTK,2025,7,4898539550.0
YEOTK,2025,8,5549041347.0
YEOTK,2025,9,5474809871.0
YEOTK,2025,10,3113792793.0
YEOTK,2025,11,5813614976.0
YEOTK,2025,12,4102407514.0
YEOTK,2026,1,7125460396.0
YEOTK,2026,2,6770883879.0
YEOTK,2026,3,12232034260.35
YEOTK,2026,4,9737228446.4
YEOTK,2026,5,40527874289.0
YEOTK,2026,6,22161060075.0
YEOTK,2026,7,19598276017.0
YEOTK,2026,8,312753824.0
YESIL,2008,1,5240364.0
YESIL,2008,2,3603482.0
YESIL,2008,3,2374109.0
YESIL,2008,4,7169385.0
YESIL,2008,5,3269642.0
YESIL,2008,6,1746569.0
YESIL,2008,7,978276.0
YESIL,2008,8,1127798.0
YESIL,2008,9,2843091.65
YESIL,2008,10,896963.0
YESIL,2008,11,350384.0
YESIL,2008,12,553651.0
YESIL,2009,1,781684.0
YESIL,2009,2,5416179.0
YESIL,2009,3,3370459.0
YESIL,2009,4,2591684.0
YESIL,2009,5,2591779.0
YESIL,2009,6,2350085.0
YESIL,2009,7,1129877.0
YESIL,2009,8,1245885.0
YESIL,2009,9,2514477.0
YESIL,2009,10,3789193.0
YESIL,2009,11,2145101.0
YESIL,2009,12,13177111.0
YESIL,2010,1,12306126.0
YESIL,2010,2,3430599.0
YESIL,2010,3,10261660.0
YESIL,2010,4,4919586.0
YESIL,2010,5,3132249.0
YESIL,2010,6,6591069.67
YESIL,2010,7,4290486.0
YESIL,2010,8,2579484.0
YESIL,2010,9,8502260.0
YESIL,2010,10,5027631.0
YESIL,2010,11,6358740.0
YESIL,2010,12,4479148.0
YESIL,2011,1,1707532.0
YESIL,2011,2,1776398.0
YESIL,2011,3,3927660.0
YESIL,2011,4,5495466.0
YESIL,2011,5,25884863.0
YESIL,2011,6,32180518.0
YESIL,2011,7,25528513.0
YESIL,2011,8,30076440.0
YESIL,2011,9,16440856.0
YESIL,2011,10,24442136.0
YESIL,2011,11,15071220.0
YESIL,2011,12,25479028.0
YESIL,2012,1,8611880.98
YESIL,2012,2,5421398.0
YESIL,2012,3,5389001.0
YESIL,2012,4,5629533.0
YESIL,2012,5,7548236.0
YESIL,2012,6,1106519.0
YESIL,2012,7,142747.0
YESIL,2012,8,133183.0
YESIL,2012,9,99748.0
YESIL,2012,10,72526.0
YESIL,2012,11,33917.0
YESIL,2012,12,48654.0
YESIL,2013,1,133139.42
YESIL,2013,2,21806.0
YESIL,2013,3,13152.0
YESIL,2013,4,40690.0
YESIL,2013,5,31486.0
YESIL,2013,6,32326.0
YESIL,2013,7,54826.0
YESIL,2013,8,31519.0
YESIL,2013,9,56600.0
YESIL,2013,10,24466.0
YESIL,2013,11,93164.0
YESIL,2013,12,104581.92
YESIL,2014,1,80329.0
YESIL,2014,2,19688.0
YESIL,2014,3,53198.0
YESIL,2014,4,14471.0
YESIL,2014,5,31784.0
YESIL,2014,6,23659.0
YESIL,2014,7,10844.0
YESIL,2014,8,7632.0
YESIL,2014,9,8383.0
YESIL,2014,10,12511.0
YESIL,2014,11,45876.0
YESIL,2014,12,28933.0
YESIL,2015,1,25141.0
YESIL,2015,2,35684.0
YESIL,2015,3,10412.0
YESIL,2015,4,34145.0
YESIL,2015,5,7474.0
YESIL,2015,6,20253.0
YESIL,2015,7,41430.0
YESIL,2015,8,37932.0
YESIL,2015,9,50188.0
YESIL,2015,10,55906.0
YESIL,2015,11,49589.0
YESIL,2015,12,28318.0
YESIL,2016,1,25066.0
YESIL,2016,2,24683.0
YESIL,2016,3,68736.0
YESIL,2016,4,10150.56
YESIL,2016,5,63864.0
YESIL,2016,6,36821.0
YESIL,2016,7,77287.0
YESIL,2016,8,19578.0
YESIL,2016,9,57982.0
YESIL,2016,10,46469.0
YESIL,2016,11,48890.0
YESIL,2016,12,46119.0
YESIL,2017,1,40709.0
YESIL,2017,2,30548.0
YESIL,2017,3,2429701.0
YESIL,2017,4,2236209.0
YESIL,2017,5,3176718.0
YESIL,2017,6,1007136.0
YESIL,2017,7,686557.0
YESIL,2017,8,1118099.0
YESIL,2017,9,1355886.0
YESIL,2017,10,3132354.0
YESIL,2017,11,8171039.0
YESIL,2017,12,2398860.0
YESIL,2018,1,6459950.0
YESIL,2018,2,11949548.86
YESIL,2018,3,37472943.0
YESIL,2018,4,32051687.0
YESIL,2018,5,44569564.81
YESIL,2018,6,20937434.0
YESIL,2018,7,156832913.0
YESIL,2018,8,99938111.0
YESIL,2018,9,60462769.77
YESIL,2018,10,101427984.0
YESIL,2018,11,122956890.0
YESIL,2018,12,49121141.0
YESIL,2019,1,46266717.0
YESIL,2019,2,23885815.0
YESIL,2019,3,11505966.0
YESIL,2019,4,8878776.0
YESIL,2019,5,7186654.3
YESIL,2019,6,66015042.0
YESIL,2019,7,39853540.0
YESIL,2019,8,14147285.0
YESIL,2019,9,55088194.0
YESIL,2019,10,160195569.64
YESIL,2019,11,190299951.0
YESIL,2019,12,253158836.57
YESIL,2020,1,122573648.3
YESIL,2020,2,480106606.0
YESIL,2020,3,238202880.0
YESIL,2020,4,194815187.0
YESIL,2020,5,181858316.0
YESIL,2020,6,370698291.0
YESIL,2020,7,212548394.0
YESIL,2020,8,110406358.0
YESIL,2020,9,377329189.0
YESIL,2020,10,386985035.0
YESIL,2020,11,552708611.0
YESIL,2020,12,300311869.0
YESIL,2021,1,1059381197.0
YESIL,2021,2,696025824.0
YESIL,2021,3,1968502758.0
