symbol,year,field,our_normalized,external,ratio,level,source
NICL,2025,TL,23491145.027,23854034.0,0.985,EXACT,sarmaaya
NICL,2025,Eq,9819996.486,9819996.0,1.000,EXACT,sarmaaya
NICL,2025,CA,19435945.961,19368467.0,1.003,EXACT,sarmaaya
NICL,2025,COGS,-38565317.428,38703423.0,0.996,EXACT,sarmaaya
NICL,2025,PAT,2022683.881,2022684.0,1.000,EXACT,sarmaaya
SITC,2023,PAT,993351.451,993351.0,1.000,EXACT,dps
BPL,2025,Sales,1658578,1658578.0,1.000,EXACT,dps
PICT,2025,Sales,10000,10000.0,1.000,EXACT,dps
PICT,2025,PAT,649096.0,649096.0,1.000,EXACT,dps
PICT,2025,TA,3876093,3876093.0,1.000,EXACT,sarmaaya
PICT,2025,TL,2569469,2569469.0,1.000,EXACT,sarmaaya
PICT,2025,Eq,1306624,1306624.0,1.000,EXACT,sarmaaya
PICT,2025,CA,3876093,3876093.0,1.000,EXACT,sarmaaya
PICT,2025,Sales,10000,10000.0,1.000,EXACT,sarmaaya
PICT,2025,PAT,649096.0,-134023.0,-4.843,MISMATCH,sarmaaya
SHCM,2022,Sales,377849.67,377850.0,1.000,EXACT,dps
FCEPL,2025,PAT,2690648.0,2690648.0,1.000,EXACT,dps
FCEPL,2025,TA,37510638,38981644.0,0.962,EXACT,sarmaaya
FCEPL,2025,TL,20544187,22015193.0,0.933,EXACT,sarmaaya
FCEPL,2025,Eq,16966451,16966451.0,1.000,EXACT,sarmaaya
FCEPL,2025,CA,18463141,18463141.0,1.000,EXACT,sarmaaya
FCEPL,2025,COGS,-87058085.0,88135220.0,0.988,EXACT,sarmaaya
FCEPL,2025,PAT,2690648.0,2690648.0,1.000,EXACT,sarmaaya
PABC,2022,Sales,14152967.779,14152968.0,1.000,EXACT,dps
PABC,2022,PAT,2702612.317,2702612.0,1.000,EXACT,dps
PRET,2024,Sales,27075690.885,27075691.0,1.000,EXACT,dps
PRET,2024,TA,30539757.151,30539757.0,1.000,EXACT,sarmaaya
