level,symbol,year,month,defect_type,missing_fields,detail
HOLE,TOWL,2016,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,TOWL,2017,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,TREET,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,TREET,2024,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,TRG,2016,,no_financial_row,ALL_FINANCIALS,span 2013-2025
HOLE,TRIPF,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,UBDL,2017,,no_financial_row,ALL_FINANCIALS,span 2016-2025
HOLE,UBDL,2022,,no_financial_row,ALL_FINANCIALS,span 2016-2025
HOLE,UDPL,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,UDPL,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,UPFL,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,WYETH,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2021
HOLE,YOUW,2017,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,YOUW,2019,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,ZAHID,2016,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,ZTL,2018,,no_financial_row,ALL_FINANCIALS,span 2014-2025
HOLE,ZTL,2019,,no_financial_row,ALL_FINANCIALS,span 2014-2025
PARTIAL_ROW,AABS,2013,,missing_fields,"Eq,PPE,dividends",
REVIEW,AABS,2013,,review_flags,,L4
PARTIAL_ROW,AABS,2015,,missing_fields,"TA,TL,Eq,CA,CL,Sales,COGS,GP,Cash,Inv,PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,AABS,2018,,missing_fields,"PPE,dividends,dividends_paid,cfo",
REVIEW,AABS,2018,,review_flags,,L5
PARTIAL_ROW,AABS,2019,,missing_fields,"TL,Eq,PPE,dividends",
PARTIAL_ROW,AABS,2020,,missing_fields,"PPE,dividends",
PARTIAL_ROW,AABS,2021,,missing_fields,"PPE,dividends",
PARTIAL_ROW,AABS,2022,,missing_fields,"PPE,dividends",
PARTIAL_ROW,AABS,2023,,missing_fields,"PPE,dividends",
PARTIAL_ROW,AABS,2024,,missing_fields,"PPE,dividends",
REVIEW,AABS,2024,,review_flags,,L5;L2
PARTIAL_ROW,AABS,2025,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ABOT,2014,,missing_fields,"COGS,PPE",
REVIEW,ABOT,2014,,review_flags,,L2.5;L2.5;L2.5
PARTIAL_ROW,ABOT,2015,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ABOT,2016,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ABOT,2017,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ABOT,2018,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ABOT,2019,,missing_fields,"PPE,dividends",
REVIEW,ABOT,2019,,review_flags,,L2.5;L2.5
PARTIAL_ROW,ABOT,2020,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ABOT,2021,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ABOT,2022,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ABOT,2023,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ABOT,2024,,missing_fields,"TL,PPE,dividends",
PARTIAL_ROW,ABOT,2025,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ACPL,2013,,missing_fields,"PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ACPL,2014,,missing_fields,"PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ACPL,2015,,missing_fields,"PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ACPL,2016,,missing_fields,"PPE,dividends,dividends_paid,cfo",
REVIEW,ACPL,2016,,review_flags,,L5
PARTIAL_ROW,ACPL,2018,,missing_fields,dividends,
PARTIAL_ROW,ACPL,2019,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ACPL,2020,,missing_fields,"dividends,dividends_paid,cfo",
PARTIAL_ROW,ACPL,2021,,missing_fields,"PPE,dividends",
PARTIAL_ROW,ACPL,2022,,missing_fields,"PPE,dividends",
REVIEW,ACPL,2022,,review_flags,,L5
PARTIAL_ROW,ACPL,2023,,missing_fields,"PPE,dividends",
REVIEW,ACPL,2023,,review_flags,,L5
PARTIAL_ROW,ACPL,2024,,missing_fields,"PPE,dividends",
REVIEW,ACPL,2024,,review_flags,,L5;L5
PARTIAL_ROW,ACPL,2025,,missing_fields,"Eq,PPE,dividends",
PARTIAL_ROW,ADAMS,2013,,missing_fields,"Sales,COGS,GP,dividends",
PARTIAL_ROW,ADAMS,2014,,missing_fields,dividends,
PARTIAL_ROW,ADAMS,2015,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,ADAMS,2016,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,ADAMS,2017,,missing_fields,"dividends,dividends_paid,cfo",
PARTIAL_ROW,ADAMS,2018,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,ADAMS,2019,,missing_fields,"dividends,dividends_paid,cfo",
PARTIAL_ROW,ADAMS,2020,,missing_fields,"TL,Eq,Sales,PAT,Inv,PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ADAMS,2021,,missing_fields,"TL,Eq,Sales,Inv,PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ADAMS,2022,,missing_fields,dividends,
PARTIAL_ROW,ADAMS,2023,,missing_fields,dividends,
PARTIAL_ROW,ADAMS,2024,,missing_fields,dividends,
PARTIAL_ROW,ADAMS,2025,,missing_fields,dividends,
PARTIAL_ROW,ADMM,2014,,missing_fields,"Cash,dividends",
PARTIAL_ROW,ADMM,2015,,missing_fields,dividends,
PARTIAL_ROW,ADMM,2017,,missing_fields,"Sales,PAT,PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ADMM,2018,,missing_fields,"TL,Sales,PAT,dividends,dividends_paid,cfo",
PARTIAL_ROW,ADMM,2019,,missing_fields,"TA,TL,Eq,Sales,PAT,PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ADMM,2020,,missing_fields,"Sales,PAT,PPE,dividends,dividends_paid,cfo",
REVIEW,ADMM,2020,,review_flags,,L5
PARTIAL_ROW,ADMM,2021,,missing_fields,"TA,TL,Eq,Sales,PAT,PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ADMM,2022,,missing_fields,"Sales,PAT,PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ADMM,2023,,missing_fields,"Sales,PAT,PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ADMM,2024,,missing_fields,"Sales,PAT,PPE,dividends,dividends_paid,cfo",
REVIEW,ADMM,2024,,review_flags,,L5
PARTIAL_ROW,ADMM,2025,,missing_fields,"TA,TL,Eq,Sales,PAT,PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ADOS,2013,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,ADOS,2014,,missing_fields,dividends,
PARTIAL_ROW,ADOS,2015,,missing_fields,"Sales,COGS,PPE,dividends,dividends_paid,cfo",
PARTIAL_ROW,ADOS,2016,,missing_fields,dividends,
PARTIAL_ROW,ADOS,2017,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,ADOS,2018,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,ADOS,2019,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,ADOS,2020,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,ADOS,2021,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,ADOS,2022,,missing_fields,"Inv,dividends,dividends_paid",
PARTIAL_ROW,AEL,2013,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,AEL,2014,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,AEL,2015,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,AEL,2016,,missing_fields,"dividends,dividends_paid",
PARTIAL_ROW,AEL,2017,,missing_fields,"dividends,dividends_paid",
