ticker,year,shares
RUPL,2023,34068500
RUPL,2024,34068500
RUPL,2025,34068500
RUPL,2026,34068500
SAIF,2013,26412900
SAIF,2014,26412900
SAIF,2015,26412900
SAIF,2016,26412900
SAIF,2017,26412900
SAIF,2018,26412900
SAIF,2019,26412900
SAIF,2020,26412900
SAIF,2021,26412900
SAIF,2022,26412900
SAIF,2023,26412900
SAIF,2024,26412900
SAIF,2025,26412900
SAIF,2026,26412900
SANE,2013,4467036
SANE,2014,4467036
SANE,2015,4467036
SANE,2016,4467036
SANE,2017,4467036
SANE,2018,4467036
SANE,2019,4467036
SANE,2020,4467036
SANE,2021,4467036
SANE,2022,4467036
SANE,2023,4467036
SANE,2024,4467036
SANE,2025,4467036
SANE,2026,4467036
SANSM,2013,11946000
SANSM,2014,11946000
SANSM,2015,11946000
SANSM,2016,11946000
SANSM,2017,11946000
SANSM,2018,11946000
SANSM,2019,11946000
SANSM,2020,11946000
SANSM,2021,11946000
SANSM,2022,11946000
SANSM,2023,11946000
SANSM,2024,11946000
SANSM,2025,11946000
SANSM,2026,11946000
SAPL,2013,9646212
SAPL,2014,9646212
SAPL,2015,9646212
SAPL,2016,9646212
SAPL,2017,9646212
SAPL,2018,9646212
SAPL,2019,9647103
SAPL,2020,9645286
SAPL,2021,9644970
SAPL,2022,9646212
SAPL,2023,9644800
SAPL,2024,9644800
SAPL,2025,9644800
SAPL,2026,9644800
SAPT,2013,20083140
SAPT,2014,20083140
SAPT,2015,20083140
SAPT,2016,20083140
SAPT,2017,20083140
SAPT,2018,20083140
SAPT,2019,20083140
SAPT,2020,21689791
SAPT,2021,21689791
SAPT,2022,21689791
SAPT,2023,21689791
SAPT,2024,21689791
SAPT,2025,21689542
SAPT,2026,21689791
SASML,2013,10425000
SASML,2014,10425000
SASML,2015,10425000
SASML,2016,10425000
SASML,2017,10425000
SASML,2018,10425000
SASML,2019,10425000
SASML,2020,10425000
SASML,2021,10425000
SASML,2022,10425000
SASML,2023,10425000
SASML,2024,10425000
SASML,2025,10425000
SASML,2026,10425000
SAZEW,2013,17972368
SAZEW,2014,17972368
SAZEW,2015,17972368
SAZEW,2016,17972368
SAZEW,2017,17972368
SAZEW,2018,21566842
SAZEW,2019,21566842
SAZEW,2020,35766842
SAZEW,2021,46496898
SAZEW,2022,60445964
SAZEW,2023,60445964
SAZEW,2024,60445964
SAZEW,2025,60445964
SAZEW,2026,60445961
SCL,2013,3900000
SCL,2014,3900000
SCL,2015,3900000
SCL,2016,3900000
SCL,2017,3900000
SCL,2018,3900000
SCL,2019,3900000
SCL,2020,3900000
SCL,2021,3900000
SCL,2022,3900000
SCL,2023,3900000
SCL,2024,3900000
SCL,2025,3900027
SCL,2026,3900000
SEARL,2013,588218590
SEARL,2014,588218590
SEARL,2015,588218590
SEARL,2016,588218590
SEARL,2017,588218590
SEARL,2018,588218590
SEARL,2019,588218590
SEARL,2020,588218590
SEARL,2021,588218590
SEARL,2022,588218590
SEARL,2023,390059142
SEARL,2024,402849333
SEARL,2025,510632941
SEARL,2026,588218590
SEL,2013,19092000
SEL,2014,19092000
SEL,2015,19092000
SEL,2016,19092000
SEL,2017,19092000
SEL,2018,19092000
SEL,2019,19092000
SEL,2020,19092000
SEL,2021,19092000
SEL,2022,19092000
SEL,2023,19092000
SEL,2024,19092000
SEL,2025,19092000
SEL,2026,19092000
SEPL,2013,41149900
SEPL,2014,49379900
SEPL,2015,59255900
SEPL,2016,59255900
SEPL,2017,59255900
SEPL,2018,59255900
SEPL,2019,59255900
SEPL,2020,59255900
SEPL,2021,59255900
SEPL,2022,59255900
SEPL,2023,59255900
SEPL,2024,59255900
SEPL,2025,59255900
SEPL,2026,59255985
SERF,2013,249871128
SERF,2014,249871128
SERF,2015,249871128
SERF,2016,249871128
SERF,2017,249871128
SERF,2018,249871128
SERF,2019,249871128
SERF,2020,249871128
SERF,2021,249871128
SERF,2022,249871128
SERF,2023,249871128
SERF,2024,249871128
SERF,2025,249871128
SERF,2026,249871128
SERT,2013,4449159
SERT,2014,4449159
SERT,2015,4449159
SERT,2016,4449159
SERT,2017,4449159
SERT,2018,4449159
SERT,2019,4449159
SERT,2020,4449159
SERT,2021,13787567
SERT,2022,13787567
SERT,2023,13787567
SERT,2024,13787567
SERT,2025,13787567
SERT,2026,13787567
SFAT,2013,4000000
SFAT,2014,4000000
SFAT,2015,4000000
SFAT,2016,4000000
SFAT,2017,4000000
SFAT,2018,4000000
SFAT,2019,4000000
SFAT,2020,4000000
SFAT,2021,4000000
SFAT,2022,4000000
SFAT,2023,4000000
SFAT,2024,4000000
SFAT,2025,4000000
SFAT,2026,4000000
SFL,2013,19687500
SFL,2014,19687500
SFL,2015,19687500
SFL,2016,19687500
SFL,2017,19687500
SFL,2018,19687500
SFL,2019,19687500
SFL,2020,20671875
SFL,2021,20671875
SFL,2022,20671875
SFL,2023,20671875
SFL,2024,20671875
SFL,2025,20671875
SFL,2026,24871228
SGF,2013,204825749
SGF,2014,204825749
SGF,2015,204825749
SGF,2016,204825749
SGF,2017,204825749
SGF,2018,204825749
SGF,2019,204825749
SGF,2020,204825749
SGF,2021,204437500
SGF,2022,205087500
SGF,2023,205917500
SGF,2024,206056400
SGF,2025,206467600
SGF,2026,206467605
SGPL,2013,17833200
SGPL,2014,17833200
SGPL,2015,17833200
SGPL,2016,17833200
SGPL,2017,17833200
SGPL,2018,17833200
SGPL,2019,17833200
SGPL,2020,17833267
SGPL,2021,17833267
SGPL,2022,17833267
SGPL,2023,17833267
SGPL,2024,17833267
SGPL,2025,17833267
SGPL,2026,17833200
SHCM,2013,17636719
SHCM,2014,17636719
SHCM,2015,17636719
SHCM,2016,17636719
SHCM,2017,17636719
SHCM,2018,17636719
SHCM,2019,17636719
SHCM,2020,17636719
SHCM,2021,17636719
SHCM,2022,17636719
SHCM,2023,17636719
SHCM,2024,17636719
SHCM,2025,17656700
SHCM,2026,17636800
SHDT,2013,22850000
SHDT,2014,22850000
SHDT,2015,22850000
SHDT,2016,22850000
SHDT,2017,22850000
SHDT,2018,22850000
SHDT,2019,22850000
SHDT,2020,22850000
SHDT,2021,22850000
SHDT,2022,22850000
SHDT,2023,16603316
SHDT,2024,16604722
SHDT,2025,16594170
SHDT,2026,22850000
SHEL,2013,85610000
SHEL,2014,107012500
SHEL,2015,107012500
